có	1782077	5178816	0.344109
và	1718090	5178816	0.331753
của	1697600	5178816	0.327797
là	1595075	5178816	0.308000
không	1456012	5178816	0.281148
cho	1409260	5178816	0.272120
người	1330186	5178816	0.256851
các	1292578	5178816	0.249589
được	1250204	5178816	0.241407
trong	1201886	5178816	0.232077
với	1174153	5178816	0.226722
một	1164869	5178816	0.224930
đã	1145337	5178816	0.221158
để	1124481	5178816	0.217131
này	1062126	5178816	0.205091
những	1040440	5178816	0.200903
bạn	992381	5178816	0.191623
khi	910045	5178816	0.175725
làm	901706	5178816	0.174114
về	900680	5178816	0.173916
tại	895077	5178816	0.172834
ngày	891745	5178816	0.172191
đến	859974	5178816	0.166056
ra	845488	5178816	0.163259
từ	825482	5178816	0.159396
lại	823110	5178816	0.158938
mà	815877	5178816	0.157541
chỉ	813418	5178816	0.157066
công	803459	5178816	0.155143
ở	802355	5178816	0.154930
như	795666	5178816	0.153639
sẽ	786392	5178816	0.151848
đi	767404	5178816	0.148181
thì	752959	5178816	0.145392
thể	746041	5178816	0.144056
vào	745097	5178816	0.143874
nhiều	743609	5178816	0.143587
nhà	736246	5178816	0.142165
cũng	710714	5178816	0.137235
trên	708455	5178816	0.136799
mình	691341	5178816	0.133494
bị	689146	5178816	0.133070
nhất	681494	5178816	0.131593
phải	680748	5178816	0.131449
hàng	669281	5178816	0.129234
thế	667294	5178816	0.128851
mới	663322	5178816	0.128084
sự	661263	5178816	0.127686
nào	657838	5178816	0.127025
còn	646996	5178816	0.124931
cả	641582	5178816	0.123886
con	641441	5178816	0.123859
sau	634872	5178816	0.122590
nam	625393	5178816	0.120760
đây	620704	5178816	0.119854
thành	613537	5178816	0.118471
việt	605781	5178816	0.116973
anh	605646	5178816	0.116947
đó	598150	5178816	0.115499
cùng	592664	5178816	0.114440
nhưng	590548	5178816	0.114031
biết	583169	5178816	0.112607
đầu	574968	5178816	0.111023
tin	573535	5178816	0.110746
vì	563266	5178816	0.108763
chính	549018	5178816	0.106012
nhân	548118	5178816	0.105838
nước	548075	5178816	0.105830
quốc	541527	5178816	0.104566
đang	538921	5178816	0.104063
năm	532657	5178816	0.102853
lên	525755	5178816	0.101520
số	520340	5178816	0.100475
theo	520270	5178816	0.100461
hay	517248	5178816	0.099878
xem	514946	5178816	0.099433
em	514237	5178816	0.099296
hiện	511776	5178816	0.098821
qua	511607	5178816	0.098788
việc	511042	5178816	0.098679
hơn	510193	5178816	0.098515
rất	509379	5178816	0.098358
gia	509288	5178816	0.098341
trung	503358	5178816	0.097196
nhé	502916	5178816	0.097110
gì	498702	5178816	0.096297
thời	495010	5178816	0.095584
nhận	493193	5178816	0.095233
dân	492913	5178816	0.095179
đồng	490362	5178816	0.094686
nay	488578	5178816	0.094342
rồi	485405	5178816	0.093729
cách	483792	5178816	0.093417
nên	480542	5178816	0.092790
giá	477887	5178816	0.092277
động	476766	5178816	0.092061
yêu	475038	5178816	0.091727
hình	474650	5178816	0.091652
ai	474244	5178816	0.091574
thông	469567	5178816	0.090671
thấy	455533	5178816	0.087961
tình	452382	5178816	0.087352
nói	450755	5178816	0.087038
trước	450132	5178816	0.086918
quá	447556	5178816	0.086421
sinh	433355	5178816	0.083678
học	425388	5178816	0.082140
quan	425035	5178816	0.082072
điều	423508	5178816	0.081777
tôi	420516	5178816	0.081199
bộ	419704	5178816	0.081042
chúng	417159	5178816	0.080551
trường	412973	5178816	0.079743
sao	410560	5178816	0.079277
do	409735	5178816	0.079118
cần	408981	5178816	0.078972
an	405373	5178816	0.078275
giờ	403460	5178816	0.077906
cái	398509	5178816	0.076950
toàn	393843	5178816	0.076049
tự	393805	5178816	0.076042
tiếp	392620	5178816	0.075813
ta	387477	5178816	0.074820
ngay	386875	5178816	0.074703
cảm	386820	5178816	0.074693
đường	386733	5178816	0.074676
viên	386666	5178816	0.074663
mọi	383626	5178816	0.074076
liên	382365	5178816	0.073833
nội	382055	5178816	0.073773
cơ	381048	5178816	0.073578
nếu	380501	5178816	0.073473
ảnh	378941	5178816	0.073171
hà	376302	5178816	0.072662
ăn	375574	5178816	0.072521
hành	372975	5178816	0.072019
cao	371108	5178816	0.071659
bình	370178	5178816	0.071479
định	369064	5178816	0.071264
khác	368343	5178816	0.071125
